Time [s],Channel 0
0.792065296,1
0.792071344,0
0.792073344,1
0.792121152,0
0.792123152,1
0.792125136,0
0.792129120,1
0.792135088,0
0.792145056,1
0.792147032,0
0.792151024,1
0.792153008,0
0.792155008,1
0.792156992,0
0.792157992,1
0.792158976,0
0.792163960,1
0.792165944,0
0.792169936,1
0.792170920,0
0.792172920,1
0.792173912,0
0.792178896,1
0.792179880,0
0.792180888,1
0.792182864,0
0.792184872,1
0.792185856,0
0.792186864,1
0.792187848,0
0.792188848,1
0.792190832,0
0.792191840,1
0.792194816,0
0.792196816,1
0.792198800,0
0.792200800,1
0.792201784,0
0.792204776,1
0.792207760,0
0.792209760,1
0.792211736,0
0.792213736,1
0.792214728,0
0.792219712,1
0.792220696,0
0.792221704,1
0.792223688,0
0.792227680,1
0.792228664,0
0.792229672,1
0.792231656,0
0.792233656,1
0.792234640,0
0.792235640,1
0.792236632,0
0.792238632,1
0.792239616,0
0.792241616,1
0.792242600,0
0.792243608,1
0.792245592,0
0.792246592,1
0.792247584,0
0.792248584,1
0.792249576,0
0.792253568,1
0.792254552,0
0.792255560,1
0.792256688,0
0.792258712,1
0.797250344,0
0.797252344,1
0.797254328,0
0.797258320,1
0.797264288,0
0.797274248,1
0.797276232,0
0.797280224,1
0.797282208,0
0.797284208,1
0.797286192,0
0.797287192,1
0.797288184,0
0.797293168,1
0.797295152,0
0.797298152,1
0.797299136,0
0.797301144,1
0.797304120,0
0.797306120,1
0.797308104,0
0.797310104,1
0.797311088,0
0.797316080,1
0.797317064,0
0.797318072,1
0.797322048,0
0.797324048,1
0.797325032,0
0.797326040,1
0.797328024,0
0.797329032,1
0.797333008,0
0.797334016,1
0.797336992,0
0.797337992,1
0.797338984,0
0.797339992,1
0.797340984,0
0.797342984,1
0.797343968,0
0.797348960,1
0.797349944,0
0.797350952,1
0.797353928,0
0.797354936,1
0.797357920,0
0.797358920,1
0.797360904,0
0.797362904,1
0.797365888,0
0.797367888,1
0.797371864,0
0.797372872,1
0.797375848,0
0.797376856,1
0.797377840,0
0.797380840,1
0.797381824,0
0.797382832,1
0.797383816,0
0.797384824,1
0.797385848,0
0.797387864,1
0.801380120,0
0.801388136,1
